artist,identifier,fans,rmse16,rmse32,rmse64
Late 9,67236429d654cc789a1e92e368127e1d,325,0.377638,0.380892,0.383333
Levels,da65ee4dcf5e2d3446d913353f23a20c,280,0.709432,0.715886,0.719777
Levels,79c3d915d1961f3d612502d103c5087e,12,0.609838,0.615322,0.620745
Levels,d41d8cd98f00b204e9800998ecf8427e,732,0.000000,0.000000,0.000000
Lilac Kings,5b201cdc65101c57322536149f0b179f,164,0.593258,0.593753,0.595140
Livealie,90f85e58b421aee8e47dfedac690add6,280,0.592219,0.594769,0.596298
Lorna Shore,5d670c3280ab0a80c80d39e50ce5cb85,68552,0.525679,0.527124,0.527617
Lost Souls,2eb7d640946ee9cdab9a9871b06f988f,2,0.342721,0.344353,0.346422
Lost Souls,f96caf26d06c2034e8568586b8f20ffc,1216,0.774511,0.775017,0.775777
Love Like Enemies,df6e1be81d74fdc1fcd4a9a955996e5c,54,0.420578,0.424865,0.427995
Main-De-Gloire,edc969adc10e710fa6fc9197716aeda4,730,0.843583,0.843724,0.843939
Make Them Suffer,12cd1cebbce7d2a8d3d00554e8737f18,27001,0.695359,0.701388,0.704079
Maybsomeday,0a50fdb93c87645f3a14191d8ead1f65,57,0.525383,0.527460,0.529072
Mental Cruelty,1a36be6db2f2f0053265a5be57450110,6669,0.753886,0.754067,0.754311
Minute After Midnight,3b5a7ac9c7fdcc2c8d2d9f1cddad4b6d,546,0.750907,0.752688,0.753883
Miss May I,4e5a4e9d82755b1d369a74a0c62e9118,86694,0.706366,0.707023,0.707717
Motionless In White,e0695a6a7b5591c786ee83b4efdd5949,278629,0.710480,0.714399,0.716496
My Own Abyss,38285902eb6c7f7814e9d5d954f32e51,125,0.806822,0.807859,0.808234
Never Back Down,f625596ca4c0b9f0c41509d70b1f2e1a,2,0.316461,0.324540,0.328397
Never Back Down,1fc6cc86fcd2fe56f09461746211b4c5,1001,0.573659,0.576075,0.577137
Never Back Down,(empty),0,0.000000,0.000000,0.000000
Never Back Down,e29575578209a3d577601fdd7bcc9c80,2,0.789180,0.789761,0.790266
Never Back Down,0400827267f63ee1f2a553fb318b1179,0,0.522917,0.574992,0.598547
Nik Nocturnal,c5f2be8fc9b7e04f3a2fcc47358180ab,5294,0.545549,0.551987,0.556160
ONI,d41d8cd98f00b204e9800998ecf8427e,9,0.000000,0.000000,0.000000
ONI,49b94f2e70efc8fdf5e38dc6945e3693,14,0.537341,0.538817,0.539445
ONI,66d03398ad68d24a4cc7d255981718e9,1,0.471553,0.491580,0.507491
ONI,5c4ed7c6bc364416f4ab63f59076e4c1,164,0.695034,0.698189,0.700081
ONI,b54c3324f88708fe3792b69e1e0c6b52,2559,0.769655,0.771419,0.771981
Ocean Sleeper,afc80d1321c00b7d8995f67a6c2f1d5f,1199,0.696765,0.702253,0.706345
Oceano,415714b66a5de709809dd3d05f58afe4,16388,0.000000,0.000000,0.000000
Oceano,68526b594bc647dea90845bf08c4dd67,2347,0.829947,0.830397,0.831008
Oceano,94c084faa8059fa032d0dfe8371f9983,6,0.510855,0.516228,0.518923
Oceans Ate Alaska,6e50b4468b42c99eb358ed0bdad14a11,24362,0.729893,0.732140,0.733296
Our Last Night,b1c46e4a508f14a631170120a42b6887,123819,0.490237,0.492971,0.494913
Our Promise,a282c629e0d87a15b75f922a190ef3bd,1921,0.406284,0.424176,0.432426
Our Vices,5dbfc32ce4dc3ef5dbd9904721d6b846,108,0.000425,0.000173,0.000330
PVRIS,1c90e135a4c10be64e1b41b4838d7ee1,49501,0.483387,0.489878,0.493169
Patient Sixty-Seven,0b56d0638159645363f8c9068cf282b9,1343,0.812014,0.812908,0.813474
Phoenix Studios,8d7424b983f922f421ba4b3177d00fcd,67,0.686912,0.691828,0.696445
Puzzles to Pieces,57b54ea48a1f6c9ad38fb2aceb427de2,40,0.604852,0.611518,0.619234
REFORMIST,64d314ea3081ddc9a214e349e3f09fe3,88,0.817773,0.821110,0.824211
Renesans,a000ea4ea1544974d7b9a360712d1104,354,0.473031,0.480451,0.483536
Reversionists,2a581983289d1d8aab7a0f121cf01404,38,0.288434,0.301755,0.315007
Revolution Paradise,607dc6e2f6a78fed67e08a0842c8f059,19,0.730482,0.736666,0.739646
Rising Insane,1cec58fc858b57621ed41a25c462e9ae,1701,0.531546,0.536620,0.540951
Ritual of Despair,bd1b4e3c3f1604ee185734f6a5f310bf,77,0.611223,0.615543,0.623010
SAGE,c6277c1e4da56bc0a7561aaeb63c7984,10795,0.187839,0.191499,0.192706
SAGE,f97ec2e7faf6233b454d621acb14fa17,297,0.591590,0.594651,0.597756
SAGE,5b0bb9b423b4b597b1a4e9131437c388,2,0.570783,0.574043,0.576090
SAGE,d41d8cd98f00b204e9800998ecf8427e,49,0.000000,0.000000,0.000000
SHOT DOWN,530ec12f0b1f71a0e450121433c346aa,17,0.721131,0.734722,0.742061
SION,a4fdaae9fd114b4ce57a1c7bbc42f108,6159,0.769294,0.768566,0.768135
SION,f3bbbaf2bfb29753f2ebbc65c376d9dd,620,0.586077,0.592217,0.596714
Sail's End,ce919f98c304956b33c67fc7bc0248d0,183,0.430273,0.440580,0.448303
Saving Vice,67c547f29ac1b15e122f925f77422165,495,0.629212,0.631816,0.633468
Set for Tomorrow,5abecdd1ff53db8197dff6bbea0414fc,825,0.656587,0.662214,0.667010
Shadow of Intent,dc157b137f6334cfa261ad76205a55c6,24650,0.830862,0.831378,0.831621
Shiva,f0384f5de1244561c8fbc5af6298d994,3,0.407318,0.413425,0.416975
Shiva,cfab2cae158c6a64265f50e743d6165e,1,0.721218,0.725762,0.729105
Shiva,6f9e381d89e68a7871a251a00cfe775b,20,0.343037,0.350448,0.354686
Shiva,d41d8cd98f00b204e9800998ecf8427e,3,0.000000,0.000000,0.000000
Shiva,bbe67da019a27d5d106c809161bfe13f,91609,0.709822,0.712488,0.714128
Shiva,f4987451d381e6359d35482a1df78e9a,35,0.807806,0.809497,0.810140
Shiva,0989415c08005f79beb808229f9af438,3,0.134203,0.140384,0.144194
Shiva,c288a03e5aa19d108e7a6ccd202f6c60,340,0.728057,0.729695,0.731215
Shiva,8cbdfabc63757997f761091d55a10c0c,5,0.000425,0.000173,0.000330
Shokran,f86bb5bf3034c32126fd1da9a21e7b02,6464,0.702293,0.704679,0.705963
Shoot the Girl First,14cb94ffad46fcdeb1ac4128125efe28,7778,0.705533,0.708847,0.712673
Signs Of Humanity,315cd50927895007aeb71ec9cbff9d58,15,0.153597,0.161459,0.171435
Signs of the Swarm,3fe6c9b253604645534e1b723e9be0a1,13111,0.616598,0.620696,0.623876
Silvercord,2973a4c28ee1c21bf9b9fea9d0e19604,69,0.469543,0.475086,0.478156
Silvercord,9e2bb12da1197d43804aa4900f71978a,98,0.720159,0.729643,0.733422
Sinner Self,bb32f0b775e6f1c08efd932fa68b6ac8,16,0.721681,0.722082,0.722976
Slaughter to Prevail,e67f3245e493709edeb73a1c50efb0e2,75086,0.460234,0.468368,0.474241
Sorry X,d3a9afcde53081850c8ab7a235b50841,276,0.769278,0.771782,0.772859
Sounds Like Color,546e31541f6ad5683748439da9ae35c7,109,0.718380,0.720214,0.721128
Spiritbox,52727a5b5ac0ec49a0857e08ce4417c1,74633,0.584922,0.588136,0.592165
Spiritbox,7dc61b7b8ab69d7224365d6e7959a1f5,40,0.428993,0.430849,0.431717
Spiritbox,d41d8cd98f00b204e9800998ecf8427e,3,0.000000,0.000000,0.000000
Statefall,6e9203f988848925d3c8f90861f42204,61,0.770435,0.771968,0.772701
Stercore,c772fb7a34914518f6649657e32a34f2,99,0.504711,0.508340,0.511473
Stories Through Storms,2ded91af1920afcebf99d9d4bf22a784,134,0.811482,0.811758,0.812146
Stray View,d3fda21d58805144dd052ce0dccf6ff2,227,0.471156,0.481717,0.487501
Suicide Silence,4650083eb25b840cf7a7ea977916c820,325468,0.773377,0.777050,0.778976
Sunspear,9ad28a013631999fe0f6196c445faca7,100,0.632854,0.637186,0.640297
Terrorbyte,7f5a01a26bb54425d0fdd723f11e4208,764,0.822877,0.824733,0.826465
The Art of Deception,167b35ecccc2a45bab6354296bdba367,140,0.653198,0.654169,0.655468
The Browning,e6512732ab5cc8d1727d083485c065a4,16924,0.636569,0.640997,0.643913
The Devil Wears Prada,d41d8cd98f00b204e9800998ecf8427e,11,0.000000,0.000000,0.000000
The Devil Wears Prada,ce8738d5e5bfbfa515d9ba9ec4a0c62a,90777,0.712320,0.716030,0.719346
The Fallen Prodigy,271ca4254bb60fdb9708b08e253f068a,454,0.559152,0.560888,0.562165
The Monster Inside,d1f18bcc55b47bc44bc29ccd24ee4ed7,57,0.264278,0.283196,0.298622
The Narrator,37d44076a187d4fd03c2e60d80c359f8,2,0.000425,0.000173,0.000330
The Narrator,a6e8fa4b8dc8880f9a76af8f44906133,1397,0.748501,0.752686,0.754358
The Narrator,2b192e0642c11b42af9d0d63961b111b,1,0.236044,0.238095,0.239469
The Static Wake,6205530970df66a9341dc13c84e187b7,61,0.740212,0.740625,0.741580
The Uncharted,401aba8bed5a7890072579cf0bb28ede,228,0.361237,0.364043,0.368404
The Way of Silence,d58464a99eab3fc6e64c58926daef206,11,0.723973,0.726596,0.728644
The Wise Man's Fear,ab555589fe18a249d2e1cc9ec5896b0b,2128,0.658056,0.661786,0.665150
The Word Alive,8120d1bb2a03ad65357ffeec916dbf11,55502,0.660241,0.661557,0.662561
Then It Ends,67e84399bd2bbf412bca2be6a466f5a7,476,0.712327,0.715995,0.717424
They Are Behind Us,8b59237cad2a4710a24dd30776d206de,31,0.554804,0.556775,0.558042
Through Arteries,e271e45ef70210a7fe2abb96f3d6fa5b,755,0.223314,0.242857,0.261073
Tidebringer,7e7bb6bf05eb1fbf6b8b6246b46b5bf9,70,0.578487,0.582883,0.584696
Traitors Among Us,6d0944afd9871216a9069737c8e5f8fb,47,0.710808,0.712729,0.715861
Under Tides,9f38deeab7865a37d0cdea2e9894ac00,6,0.722081,0.722502,0.722845
Unleash The Panda,d9a854f4b96869d9c5114aa90c868f30,3,0.502887,0.512291,0.522795
Unsafe Unsound,6b2a02d35a5c8812f1205ca31b175bc2,180,0.774835,0.776524,0.778046
Until I Wake,31b347bf5f862344fa407b24356eecdc,2883,0.627636,0.631068,0.632880
Until We Die,bda9f05c375a443c99ae62a465916aec,687,0.592692,0.597659,0.603023
Valoria,4d47fab80682eeb6256e00864fa941c4,34,0.608801,0.610863,0.613128
Vanna,29e66335328f44e504221fbfcc09dd98,8,0.764701,0.765008,0.765263
Vanna,099e81e5fed8bae872eec5b09acf98ae,1284,0.686493,0.688980,0.690749
Vanna,0f9531709459b8cfceb20fc10dfc3243,11358,0.421794,0.425910,0.428195
Varia,0febaeb32129cb5f0b8877f64a073a94,129,0.503344,0.511778,0.518737
Veiled,52fe66b34043ca1bbc54cfa64d3983fa,83,0.697730,0.698448,0.699789
Versus Me,79118e8519e1b90c90594e99f168eba5,2031,0.333472,0.371221,0.390750
Villain of the Story,3bc978ad76b50a9a8b7ca590f7db77fc,2953,0.512397,0.520605,0.526286
Virtual Perish,df76945c1c24fb7d9e7984df03af836f,3,0.619921,0.630173,0.637419
Volumes,422a3f6f4bf96a53c23e6aaa350cb3e8,18518,0.629273,0.631737,0.633291
